45839 45669 59963 121773 145166
capel 0 0 3 9 8
calni 0 0 0 20 0
broken 2 3 2 8 5
broadli 0 0 17 1 2
begun 0 3 7 8 2
basket 0 3 17 0 0
barrier 1 4 11 4 0
atlanta 0 1 0 18 1
arbitrageur 0 0 0 20 0
arabian 17 0 2 0 1
anim 1 8 0 6 5
alusuiss 0 0 0 0 20
alter 8 2 4 5 1
alberta 11 0 0 5 4
airway 0 0 1 5 14
agent 0 8 1 8 3
adher 17 2 1 0 0
accru 1 1 0 4 14
zambia 0 3 16 0 0
westinghous 0 0 0 10 9
warburg 0 0 3 16 0
virginia 0 0 0 11 8
usa 4 3 1 4 7
ultim 2 2 2 5 8
treatment 2 0 1 9 7
tonight 4 5 1 9 0
telegraph 0 0 0 10 9
takeup 0 0 19 0 0
suitor 0 0 0 19 0
sudan 0 6 13 0 0
subscrib 0 0 0 12 7
sri 0 19 0 0 0
shanghai 0 9 0 2 8
select 4 4 3 4 4
section 4 5 1 5 4
roger 1 2 3 7 6
rio 6 5 0 8 0
residu 16 1 1 0 1
pick 4 1 9 2 3
perman 6 6 3 1 3
pennsylvania 2 0 0 14 3
pattern 4 4 6 0 5
passeng 0 0 0 6 13
pace 3 1 3 5 7
outflow 0 0 19 0 0
outcom 2 3 3 5 6
ltpie 0 0 0 18 1
ltcanadian 2 0 0 9 8
love 0 0 1 11 7
incorpor 1 0 4 6 8
im 2 2 5 3 7
hungari 0 0 19 0 0
horizon 0 0 0 15 4
grew 0 1 7 2 9
green 0 2 0 8 9
goldman 1 0 0 15 3
fresh 3 4 6 2 4
encor 0 0 0 17 2
el 1 16 0 2 0
downturn 6 0 3 1 9
disposit 0 0 0 5 14
devic 1 0 0 11 7
danger 4 2 12 0 1
closur 8 0 2 1 8
cheap 7 7 4 0 1
carolina 0 0 0 1 18
beverag 0 4 0 11 4
benchmark 18 0 1 0 0
belief 5 2 5 7 0
bat 0 0 0 0 19
barney 3 0 7 5 4
banner 0 0 0 19 0
authoris 0 4 4 5 6
asc 0 19 0 0 0
ameritrust 0 0 0 12 7
alvit 19 0 0 0 0
volatil 6 0 7 0 5
vehicl 1 1 1 7 8
understand 1 1 3 10 3
undersecretari 3 9 6 0 0
unabl 2 1 2 7 6
uae 10 0 8 0 0
type 1 4 6 5 2
twice 0 2 5 8 3
thailand 0 13 0 4 1
syndic 1 0 1 14 2
suprem 4 0 0 11 3
stockbrok 4 0 3 5 6
sport 0 0 0 9 9
specialist 1 6 1 9 1
sown 0 18 0 0 0
southmark 0 0 0 18 0
snyder 0 1 0 16 1
site 8 0 0 6 4
shelf 15 0 0 0 3
sheikh 18 0 0 0 0
satoshi 0 0 18 0 0
qintex 0 0 0 18 0
publicli 2 0 0 15 1
prt 18 0 0 0 0
provision 0 4 5 1 8
protest 5 7 3 3 0
protectionist 2 1 14 0 1
prohibit 4 3 1 8 2
prioriti 5 0 12 0 1
prevail 1 6 10 0 1
phase 5 2 4 1 6
penc 0 0 1 10 7
parliamentari 2 0 14 2 0
pantera 0 0 0 18 0
otherwis 3 4 5 4 2
ny 0 0 1 13 4
norfolk 0 0 0 16 2
neutral 11 4 2 0 1
necessarili 0 1 14 1 2
mull 0 3 1 13 1
mount 1 0 5 5 7
mostli 4 1 2 5 6
momentum 2 1 8 0 7
minu 1 15 2 0 0
merchandis 0 1 1 6 10
mcivor 18 0 0 0 0
machin 0 0 1 10 7
lire 0 0 2 7 9
lanka 0 18 0 0 0
labour 10 3 5 0 0
kept 8 3 5 1 1
intens 3 13 0 1 1
ill 0 4 1 12 1
huski 0 0 0 17 1
huckabi 0 18 0 0 0
holiday 2 0 2 10 4
hilton 0 0 0 4 14
heritag 0 0 3 15 0
ge 0 0 0 4 14
gabelli 0 0 0 18 0
fortun 0 0 5 13 0
format 5 1 2 8 2
fla 0 0 0 18 0
fight 2 6 0 9 1
fidel 0 0 0 16 2
exploratori 15 0 0 3 0
esso 6 0 0 9 3
eastman 0 0 0 9 9
depth 8 0 5 5 0
deak 0 0 0 18 0
ctsshr 0 0 0 0 18
counter 1 1 3 12 1
conagra 0 0 0 14 4
commerzbank 0 0 2 9 7
coloni 0 0 0 13 5
channel 1 0 0 12 5
carbid 0 0 0 13 5
businessmen 8 0 9 1 0
bureau 0 12 3 2 1
asid 0 3 6 4 5
antitrust 0 0 0 16 2
amoco 18 0 0 0 0
across 5 6 3 2 2
zico 0 0 0 17 0
word 4 1 5 3 4
withdrawn 1 0 0 13 3
willing 4 3 4 5 1
venezuelan 16 0 0 0 1
unoc 17 0 0 0 0
unicorp 0 0 0 14 3
tvx 0 0 0 17 0
trillion 16 0 0 1 0
triangl 0 1 1 12 3
transamerica 0 0 0 6 11
threeyear 2 1 3 2 9
theyr 1 3 0 10 3
tesco 0 0 0 13 4
suburban 0 0 0 14 3
statist 5 5 5 1 1
sprint 0 0 0 0 17
solut 2 1 9 2 3
societ 1 0 1 6 9
social 1 5 1 6 4
sept 0 2 2 4 9
resolut 1 2 5 4 5
raid 15 0 0 2 0
quantiti 3 11 1 0 2
proven 7 0 2 4 4
preserv 2 2 8 5 0
portug 0 13 0 4 0
pillsburi 0 4 0 1 12
personnel 2 1 0 4 10
pennzoil 13 0 0 0 4
peg 1 0 13 1 2
patent 0 0 0 10 7
onethird 2 3 1 7 4
occident 5 0 0 8 4
nigel 3 0 14 0 0
n 0 0 0 13 4
model 0 0 2 0 15
minnesota 0 5 0 7 5
mind 7 4 3 3 0
midday 1 3 8 3 2
mention 4 0 6 6 1
marathon 13 0 0 1 3
ltxon 14 0 0 3 0
ltamerican 0 0 0 12 5
livestock 1 10 0 6 0
inflow 0 0 17 0 0
indirectli 1 0 13 3 0
india 6 10 0 1 0
increasingli 3 2 8 2 2
imag 0 0 0 11 6
hundr 5 4 1 3 4
healthcar 0 0 0 7 10
guaranti 0 0 7 7 3
graphic 0 0 0 8 9
gould 0 0 3 13 1
giant 3 0 0 11 3
fullyear 0 0 0 0 17
frost 0 9 0 5 3
freedom 4 1 2 3 7
flight 0 1 1 7 8
fill 11 1 0 1 4
felt 0 3 4 4 6
farmland 0 14 0 3 0
fairli 1 1 12 3 0
exact 1 3 1 5 7
endotron 0 0 0 0 17
edward 1 4 0 7 5
drastic 1 5 8 0 3
dramat 1 2 6 1 7
dlrsshr 0 0 0 14 3
discov 13 1 0 0 3
dip 4 0 7 2 4
dinar 0 0 12 0 5
deterior 3 1 3 0 10
deriv 2 8 1 0 6
decoupl 0 17 0 0 0
crucial 8 3 6 0 0
controversi 3 8 1 5 0
contact 1 2 1 12 1
compli 0 0 0 12 5
certainli 6 4 2 2 3
centuri 5 3 0 6 3
cautiou 2 2 10 2 1
categori 2 2 10 1 2
cap 0 4 2 5 6
campbel 0 0 1 4 12
buyback 0 0 0 4 13
builder 0 0 0 16 1
black 0 1 7 6 3
bayer 0 0 0 0 17
batteri 2 0 0 14 1
ban 7 6 0 2 2
anacomp 0 0 0 8 9
alliedsign 0 0 0 15 2
adsteam 0 0 0 7 10
abandon 1 2 4 4 6
written 1 2 2 4 7
wisconsin 0 0 0 14 2
winterkil 0 16 0 0 0
ward 0 0 1 14 1
wallenberg 0 0 0 16 0
vulner 1 4 7 1 3
veget 0 14 0 1 1
user 3 4 0 7 2
undertak 1 2 8 5 0
undermin 0 2 12 2 0
ultramar 0 0 0 7 9
tv 0 0 0 14 2
truste 2 0 0 9 5
troop 15 1 0 0 0
surround 1 1 4 8 2
sunday 6 1 3 6 0
southwestern 0 2 0 2 12
sour 16 0 0 0 0
sound 2 2 3 7 2
somewhat 2 1 6 2 5
semiannu 0 2 1 0 13
seller 2 7 4 3 0
seipp 0 0 8 0 8
seaway 0 14 0 1 1
search 11 1 1 2 1
salari 1 1 2 6 6
rotterdam 2 14 0 0 0
rmj 0 0 0 16 0
resal 0 0 14 2 0
republican 1 13 0 2 0
recogn 0 3 3 4 6
procedur 1 3 3 4 5
print 0 0 0 13 3
presenc 6 1 2 6 1
pont 1 0 0 9 6
poison 0 0 0 16 0
plane 5 1 0 2 8
pill 0 0 0 16 0
pershar 0 0 0 2 14
percept 1 2 7 3 3
pepsico 0 0 0 12 4
pdvsa 16 0 0 0 0
pc 0 0 0 15 1
papandr 16 0 0 0 0
owe 4 1 4 4 3
olson 0 0 0 6 10
often 3 3 7 3 0
nonopec 16 0 0 0 0
nino 0 16 0 0 0
nestl 0 0 0 7 9
mountain 1 0 0 13 2
monitor 4 2 3 7 0
mitsubishi 0 1 2 9 4
mellon 0 0 0 0 16
meanwhil 2 4 6 1 3
mail 0 1 0 6 9
ltamo 0 0 0 12 4
lord 3 0 2 0 11
jr 0 0 0 12 4
jim 2 3 1 5 5
j 0 0 0 11 5
intellig 2 1 0 3 10
injunct 1 0 0 15 0
idl 3 10 0 0 3
hutchison 0 0 0 3 13
histori 2 2 0 4 8
hillard 0 0 0 13 3
heyman 0 0 0 16 0
heart 4 2 2 6 2
harm 8 1 3 3 1
gardner 0 0 0 16 0
francais 7 0 0 5 4
forest 0 2 0 11 3
extra 1 3 3 3 6
evid 1 3 6 3 3
enforc 0 0 1 13 2
elsewher 8 5 1 2 0
elder 1 1 0 11 3
door 2 3 1 8 2
dole 0 16 0 0 0
deduct 6 2 0 0 8
decad 4 3 4 1 4
darman 0 0 16 0 0
crosbi 0 0 0 7 9
cra 0 0 0 0 16
convinc 4 3 4 3 2
connecticut 0 0 0 11 5
compound 1 10 0 0 5
comalco 0 0 0 0 16
casino 0 0 0 12 4
cabinet 5 8 1 2 0
built 6 2 1 1 6
beef 0 9 1 6 0
bearish 2 2 11 1 0
basf 0 0 0 0 16
await 1 8 3 3 1
avana 0 0 0 15 1
autom 0 0 0 10 6
audi 0 0 0 0 16
ambassador 7 0 4 5 0
agenda 1 10 3 2 0
acknowledg 1 1 3 11 0
win 1 0 1 10 3
widen 2 3 7 1 2
weaker 2 1 8 1 3
virtual 4 2 4 2 3
vine 0 0 0 14 1
valid 2 3 2 7 1
underway 2 4 1 6 2
ucpb 0 0 0 15 0
twoyear 2 0 5 6 2
triton 4 0 0 10 1
thatcher 4 0 5 6 0
temporarili 5 1 5 2 2
team 1 2 2 6 4
supercomput 0 0 0 15 0
steadili 5 4 4 0 2
sloan 0 0 13 2 0
simon 6 0 0 2 7
shut 14 0 0 0 1
sarney 5 0 10 0 0
sanwa 0 0 1 11 3
rout 1 4 1 6 3
retali 0 5 8 2 0
restraint 5 0 2 6 2
resid 1 3 8 3 0
quest 0 0 0 14 1
quak 15 0 0 0 0
pursuant 1 0 1 12 1
prudenti 1 1 0 2 11
probe 0 3 1 11 0
porsch 0 0 0 0 15
polaroid 0 0 0 10 5
pinola 0 0 0 12 3
phillip 7 0 5 1 2
petroleo 15 0 0 0 0
peke 9 6 0 0 0
pctown 2 0 0 4 9
paddi 0 15 0 0 0
northeast 2 6 0 6 1
moratorium 1 0 2 0 12
moor 5 0 0 9 1
mississippi 1 7 0 1 6
metex 0 0 0 14 1
membership 2 5 8 0 0
maryland 0 0 0 15 0
ltpcc 0 0 0 15 0
ltag 0 0 0 15 0
lincoln 0 0 0 11 4
liber 1 5 8 0 1
lear 1 0 0 13 1
justifi 4 1 6 3 1
jack 0 0 0 7 8
iowa 0 11 1 0 3
ibm 0 0 1 0 14
hudson 0 0 0 10 5
hall 3 7 0 2 3
guess 0 10 3 1 1
guard 5 0 2 8 0
greenmail 0 0 0 15 0
glass 0 0 0 7 8
firmer 4 1 4 4 2
finland 0 0 11 2 2
evan 9 0 0 6 0
essenti 0 4 4 3 4
els 0 3 3 8 1
ecuadorean 15 0 0 0 0
echlin 0 0 0 7 8
dollaryen 0 0 15 0 0
divid 7 1 5 2 0
distanc 2 0 0 1 12
disrupt 2 3 2 3 5
davi 3 0 0 7 5
danforth 0 4 0 8 3
cutback 10 2 0 1 2
conflict 4 2 7 1 1
civil 0 5 2 3 5
cinema 0 0 0 2 13
cie 2 0 0 4 9
chevron 15 0 0 0 0
cftc 2 13 0 0 0
campaign 2 9 0 2 2
broke 2 2 2 6 3
bridg 5 0 1 9 0
breakup 0 0 0 15 0
boycott 7 0 8 0 0
biotechnolog 0 0 0 10 5
bar 1 2 3 8 1
articl 1 2 2 7 3
arco 2 0 0 7 6
apart 2 0 3 4 6
ami 0 0 0 15 0
akzo 0 0 0 11 4
advisori 0 3 0 11 1
wood 3 0 0 6 5
withdrew 1 1 2 10 0
warm 0 14 0 0 0
waiver 1 0 1 11 1
variti 0 0 0 0 14
upcom 1 5 3 2 3
unanim 2 1 1 9 1
threeforon 0 0 0 0 14
tabl 1 2 1 9 1
sumitomo 0 0 1 10 3
substitut 1 4 4 2 3
stone 0 0 2 9 3
steep 4 0 8 0 2
spin 0 0 0 13 1
soro 0 0 0 14 0
rumour 1 2 6 4 1
rothschild 1 0 0 12 1
reveal 2 0 4 7 1
residenti 0 0 0 7 7
repeal 6 0 0 3 5
renouf 0 0 0 14 0
read 0 0 4 9 1
protection 0 1 12 1 0
proport 1 2 4 5 2
profession 0 1 0 7 6
preussag 0 0 0 3 11
peseta 0 2 10 0 2
pan 0 1 0 1 12
outlay 2 9 0 2 1
orient 0 2 6 2 4
oregon 0 2 0 10 2
orang 0 3 0 11 0
norsk 14 0 0 0 0
nonaccru 0 0 0 0 14
netback 14 0 0 0 0
neither 2 4 0 6 2
navi 12 0 0 1 1
narragansett 0 0 0 14 0
murray 4 0 0 4 6
mueller 0 0 12 2 0
mitsui 0 0 2 12 0
miti 0 0 12 2 0
mideast 14 0 0 0 0
mercantil 6 0 2 0 6
mass 9 1 0 2 2
man 1 0 2 10 1
loui 0 8 0 6 0
liff 0 0 14 0 0
lifetim 3 0 0 11 0
lie 6 1 5 1 1
learjet 0 0 0 13 1
latter 1 0 3 7 3
l 1 1 0 12 0
kwacha 0 0 14 0 0
kill 10 3 1 0 0
jungl 14 0 0 0 0
judgment 3 3 1 6 1
journalist 0 1 6 2 5
jefferi 0 0 0 11 3
issuanc 0 2 2 5 5
injuri 4 8 0 1 1
injur 2 11 0 0 1
indefinit 8 1 0 3 2
icn 0 0 0 12 2
hunt 2 0 1 9 2
household 0 1 3 4 6
hiram 0 0 0 5 9
heck 0 0 0 4 10
heard 3 3 3 5 0
guidelin 0 0 8 1 5
gnp 0 0 12 0 2
furnitur 0 0 0 7 7
ftc 2 0 0 12 0
freez 3 4 0 5 2
foundat 1 0 5 6 2
fort 1 0 0 11 2
factori 0 7 1 5 1
equatori 0 0 0 0 14
emphasi 3 1 2 4 4
draft 6 2 3 2 1
didnt 0 5 0 7 2
deliber 8 2 1 3 0
dean 1 2 1 2 8
curtail 5 0 6 1 2
consumm 0 1 0 13 0
conglomer 1 0 0 9 4
confidenti 0 0 2 12 0
combust 0 0 0 7 7
code 6 1 2 2 3
clark 0 0 0 12 2
citizen 0 0 4 7 3
caution 0 1 9 0 4
casualti 1 0 0 8 5
calm 4 1 9 0 0
bu 2 7 0 4 1
bolster 3 2 5 1 3
barg 0 14 0 0 0
bangladesh 0 14 0 0 0
avon 0 0 0 11 3
armtek 0 0 0 14 0
aris 2 0 1 3 8
alaskan 12 0 0 2 0
airport 1 0 1 11 1
advoc 5 2 2 5 0
accompani 2 1 2 3 6
wtc 0 0 0 13 0
worst 3 6 3 0 1
wind 2 6 0 2 3
wider 3 2 4 2 2
wet 0 6 2 5 0
waiv 0 0 0 13 0
vm 0 0 0 2 11
veba 0 0 0 11 2
upper 3 3 4 1 2
upham 3 0 5 3 2
unveil 1 0 7 5 0
unc 0 13 0 0 0
true 1 1 1 7 3
transmiss 1 0 0 7 5
translat 0 2 1 2 8
tonnag 0 8 0 0 5
tobacco 0 3 0 4 6
theodor 0 0 0 12 1
swing 5 1 6 0 1
supertank 13 0 0 0 0
sunter 0 0 0 13 0
summit 0 0 8 4 1
stori 4 2 3 1 3
speed 1 1 5 4 2
someon 0 1 0 10 2
secondari 7 1 0 4 1
scangraph 0 0 0 13 0
safeti 1 3 0 7 2
ringgit 0 0 3 5 5
rhode 0 0 0 10 3
revolv 0 0 0 8 5
reliev 5 3 4 0 1
relationship 2 2 4 4 1
reinforc 1 2 8 1 1
quiet 1 0 11 0 1
pose 4 3 4 0 2
portugues 0 7 0 6 0
pleas 0 3 2 6 2
pier 0 0 0 6 7
patrick 0 4 1 3 5
parallel 0 0 12 1 0
overthecount 0 0 4 7 2
ocean 7 3 0 1 2
nonbank 0 0 9 3 1
motion 1 0 0 12 0
ltdixon 0 0 0 13 0
linotyp 0 0 0 13 0
lilli 0 0 0 12 1
lb 0 13 0 0 0
laidlaw 0 0 0 0 13
kistler 0 0 0 13 0
irrig 0 13 0 0 0
insect 0 13 0 0 0
inn 0 0 1 9 3
ina 13 0 0 0 0
implic 4 1 5 2 1
immin 1 4 5 3 0
illeg 5 1 2 4 1
hr 1 4 0 8 0
gone 3 2 5 3 0
gilt 0 0 13 0 0
forum 2 1 7 3 0
featur 1 7 2 2 1
experienc 3 4 2 1 3
equit 0 2 0 6 5
english 0 9 3 0 1
embassi 4 7 0 2 0
dougla 0 0 0 7 6
digit 0 0 1 8 4
del 0 0 0 8 5
defin 2 2 2 5 2
datagraphix 0 0 0 6 7
ctc 0 0 0 13 0
creek 1 0 0 12 0
coverag 0 7 0 1 5
counsel 0 0 0 11 2
correspond 1 4 3 0 5
cordoba 0 13 0 0 0
cool 3 4 4 2 0
conveni 0 1 0 6 6
content 3 2 8 0 0
confus 0 2 5 1 5
concept 0 2 5 3 3
comprehens 2 1 5 2 3
coke 1 0 0 12 0
cleveland 0 0 0 12 1
clearanc 0 0 1 12 0
choic 2 2 3 6 0
carson 0 0 0 8 5
butler 0 0 0 11 2
brook 0 0 1 10 2
breakwat 0 1 0 12 0
breakdown 1 10 1 0 1
bours 0 0 0 4 9
bonus 0 9 0 0 4
bilzerian 0 0 0 13 0
bayou 0 0 0 13 0
balao 13 0 0 0 0
athen 11 0 0 2 0
aspect 2 2 2 5 2
analysi 3 5 2 2 1
amalgam 0 2 0 4 7
allianc 3 0 1 3 6
ali 13 0 0 0 0
alan 0 0 1 10 2
accid 5 2 0 0 6
workforc 2 0 0 3 7
wedg 0 0 0 12 0
wang 0 0 6 0 6
vulcan 0 0 0 12 0
vital 3 3 0 5 1
usussr 0 12 0 0 0
turbul 2 0 9 0 1
transworld 0 0 0 4 8
toledo 0 7 0 5 0
thyssen 0 0 0 0 12
testimoni 3 1 6 1 1
territori 4 1 0 3 4
tend 1 2 7 1 1
surviv 1 5 0 6 0
superior 1 0 0 10 1
summari 0 12 0 0 0
struck 6 0 3 3 0
sovereign 1 0 0 8 3
sluggish 0 2 8 0 2
siegler 0 0 0 12 0
shutdown 9 0 0 0 3
sens 0 3 4 5 0
schwab 0 0 0 11 1
safeguard 1 0 1 8 2
royex 0 0 0 12 0
roach 0 0 2 10 0
richfield 5 0 0 5 2
represent 0 1 0 10 1
reorganis 0 1 0 1 10
refund 0 5 0 0 7
recognis 4 1 5 1 1
realign 0 0 11 0 1
preciou 0 0 2 10 0
postsplit 0 0 0 0 12
policymak 1 0 10 1 0
pincu 0 0 0 12 0
pilot 1 7 0 4 0
persuad 2 1 8 1 0
penn 0 0 0 11 1
pemex 12 0 0 0 0
palm 1 8 0 3 0
overvalu 0 0 12 0 0
outboard 0 0 0 12 0
onto 0 6 3 3 0
onic 0 12 0 0 0
oneforf 0 0 0 1 11
onefor 0 0 0 0 12
oman 4 0 8 0 0
obstacl 0 3 6 3 0
nurseri 0 0 0 5 7
none 3 2 2 2 3
nichola 0 0 2 6 4
nearbi 7 4 1 0 0
mix 1 2 3 1 5
mitchel 5 0 1 2 4
mclean 0 0 0 12 0
mca 0 4 0 7 1
malcolm 0 0 1 11 0
ltiv 0 0 0 12 0
ltintern 0 0 0 10 2
ltchem 0 0 0 12 0
ltcaw 0 0 0 11 1
lira 0 0 12 0 0
lifestyl 0 0 3 6 3
lay 0 0 5 4 3
kenneth 1 0 6 2 3
kay 0 7 0 0 5
kaiser 0 0 0 12 0
interfer 4 1 1 6 0
hanov 0 0 1 7 4
h 0 1 1 5 5
grisanti 12 0 0 0 0
grenfel 0 0 0 3 9
grace 0 2 0 10 0
gather 4 0 4 4 0
game 2 0 3 4 3
forint 0 0 12 0 0
fisher 0 0 0 4 8
firstquart 0 0 2 0 10
fiber 0 2 0 0 10
fernando 11 0 0 1 0
fdic 0 0 0 2 10
eysken 0 0 12 0 0
evergo 0 0 0 12 0
edg 0 1 5 3 3
donaldson 0 0 1 11 0
debtor 3 0 1 2 6
credibl 0 0 8 3 1
cornelissen 0 0 0 0 12
coopervis 0 0 0 6 6
cook 1 0 0 6 5
contractor 4 0 0 6 2
contest 0 1 0 8 3
concess 2 2 0 6 2
communiqu 9 0 2 0 1
collect 0 5 1 4 2
collaps 3 1 4 2 2
coincid 1 2 2 2 5
coffe 4 4 1 2 1
climat 3 2 3 1 3
clabir 0 0 0 9 3
christian 2 0 0 4 6
champlin 12 0 0 0 0
cast 0 1 5 5 1
carter 1 0 1 3 7
brunswick 0 0 0 0 12
broader 1 4 3 4 0
brew 0 0 0 10 2
bottl 1 0 0 11 0
bolivar 3 0 0 0 9
belt 1 11 0 0 0
bean 0 9 0 3 0
beach 1 0 0 11 0
bare 1 2 7 0 2
banqu 1 0 2 8 1
avia 0 0 0 12 0
anchor 1 0 3 0 8
amid 0 3 6 3 0
abu 10 0 2 0 0
yugoslav 2 9 0 0 0
yrago 0 0 0 0 11
yellow 2 6 0 0 3
worsen 2 4 2 2 1
whittak 0 0 0 4 7
warner 0 0 0 11 0
wari 0 2 7 1 1
warehous 0 3 0 1 7
walker 0 0 0 6 5
von 0 3 4 4 0
vicepresid 2 2 1 6 0
uphold 2 5 0 4 0
upgrad 6 0 2 0 3
trim 0 3 2 4 2
tre 0 0 0 11 0
transform 0 0 6 0 5
tin 1 7 0 0 3
testifi 1 4 3 3 0
sydney 1 1 3 1 5
stanc 0 0 10 1 0
specialis 1 1 0 8 1
sometim 1 3 3 3 1
slower 2 1 4 0 4
sight 1 0 6 2 2
shield 1 0 0 4 6
sevenday 0 0 11 0 0
seismic 7 0 0 1 3
seattl 0 2 0 9 0
scrap 1 2 6 0 2
sceptic 0 1 10 0 0
safeway 0 0 0 9 2
saatchi 0 0 0 11 0
rural 0 8 2 1 0
roughli 0 2 2 3 4
rko 0 0 0 11 0
reschedul 1 1 3 1 5
refrain 2 0 9 0 0
recognit 1 4 3 1 2
realiti 1 5 4 1 0
raymond 4 1 1 3 2
ration 0 3 4 1 3
ran 3 2 2 1 3
r 2 0 0 5 4
quick 1 0 6 3 1
queri 2 1 0 5 3
queensland 0 5 0 5 1
pulp 0 0 0 4 7
prospectu 0 0 0 3 8
preced 1 4 0 3 3
poultri 0 3 0 7 1
popular 1 0 9 1 0
physic 3 5 0 3 0
petrochem 4 0 0 3 4
penney 0 0 0 5 6
pat 0 7 0 4 0
panic 1 0 4 6 0
pak 0 0 0 10 1
paint 1 0 1 5 4
painewebb 1 0 1 8 1
optic 0 0 0 5 6
obvious 1 1 1 7 1
nymex 11 0 0 0 0
notabl 2 4 1 1 3
newman 0 0 1 9 1
nevada 0 0 0 10 1
neco 0 0 0 11 0
naira 0 0 11 0 0
multipl 1 0 2 4 4
mr 0 0 1 8 2
montedison 2 0 0 9 0
monfort 0 0 0 8 3
mission 1 8 1 1 0
miss 2 0 3 4 2
minneapoli 0 6 0 3 2
micro 0 0 0 8 3
mechan 0 1 4 2 4
mayb 2 0 3 2 4
margosh 11 0 0 0 0
magnet 0 0 0 7 4
luxembourg 2 2 2 2 3
ltrex 0 0 0 10 1
lti 0 0 0 8 3
ltht 2 0 0 9 0
ltdd 3 0 0 3 5
ltcawll 0 0 0 10 1
ltbor 0 0 0 11 0
ltaxp 0 0 0 11 0
license 0 0 0 8 3
libya 8 1 1 0 1
liberti 0 0 0 6 5
lewi 2 0 1 7 1
learn 1 1 5 3 1
lawmak 2 8 0 0 1
kharg 11 0 0 0 0
keycorp 0 0 0 11 0
jovanovich 0 0 0 10 1
joseph 0 0 0 7 4
jakarta 10 1 0 0 0
itt 0 0 0 4 7
israel 0 8 1 1 1
iron 0 1 1 6 3
instinet 0 0 0 11 0
inevit 4 0 6 0 1
imatron 0 0 0 10 1
iii 0 2 0 5 4
ice 5 0 0 5 1
hydrocrack 11 0 0 0 0
howard 2 0 0 5 4
horner 0 0 11 0 0
hondura 0 11 0 0 0
holm 2 0 0 6 3
holland 0 1 0 3 7
herrhausen 0 0 6 3 2
herald 0 0 5 4 2
henri 1 0 2 5 3
healthi 0 2 4 1 4
havent 0 7 2 1 1
hartford 0 0 0 2 9
hamper 0 1 5 3 2
gear 0 0 0 9 2
function 2 2 2 3 2
frank 4 0 0 3 4
fraction 0 2 1 4 4
formula 3 0 3 1 4
fiduciari 0 0 0 9 2
fichtel 0 0 0 10 1
fcc 0 0 0 8 3
enjoin 1 0 0 10 0
endors 2 3 6 0 0
egg 0 2 2 2 5
educ 1 1 2 3 4
ecolab 0 0 0 11 0
dutchshel 8 0 0 0 3
driel 0 0 0 0 11
diversif 1 0 3 5 2
discourag 1 4 3 3 0
disc 0 0 0 10 1
disappear 1 3 4 1 2
dieter 0 0 0 2 9
dept 0 1 6 2 2
dan 0 11 0 0 0
costli 4 3 0 3 1
cosmet 0 0 0 8 3
convent 0 3 0 6 2
contrast 0 3 6 0 2
conoco 11 0 0 0 0
conclus 1 2 2 6 0
compagni 3 0 0 7 1
closer 1 1 6 3 0
check 2 0 6 2 1
cellular 0 0 0 5 6
caspar 4 0 0 7 0
cant 0 0 4 7 0
buffer 0 11 0 0 0
buckhorn 0 0 0 6 5
broaden 1 2 0 5 3
breakeven 0 2 0 1 8
bread 0 10 0 0 1
breach 2 0 2 5 2
bonn 0 0 10 1 0
blame 4 0 1 0 6
becor 0 0 0 11 0
banco 3 0 2 2 4
baltic 2 6 0 3 0
babcock 0 0 0 0 11
autumn 2 3 5 0 1
assign 5 0 4 1 1
ashland 1 0 0 1 9
arthur 3 0 0 4 4
arsen 0 0 0 10 1
ariadn 0 0 0 11 0
apparel 0 0 0 3 8
amoskeag 0 0 0 10 1
alwattari 11 0 0 0 0
alleghani 0 0 0 8 3
alcan 0 0 0 11 0
agl 0 0 0 11 0
absolut 1 1 3 2 4
abolish 1 3 5 0 2
zimbabw 0 4 4 2 0
yearli 0 0 0 7 3
wors 1 2 3 2 2
windfal 8 1 0 0 1
wilkinson 0 0 0 8 2
walsh 0 0 0 3 7
voic 0 6 0 3 1
vogtl 0 0 0 0 10
vista 1 0 0 4 5
viner 0 0 0 1 9
valuat 0 0 0 6 4
upland 0 2 0 8 0
updat 1 6 0 1 2
unithold 1 0 0 1 8
unilater 2 1 5 1 1
unfair 0 5 1 4 0
understood 4 1 5 0 0
trustco 0 0 0 0 10
tribun 0 5 0 5 0
trial 3 0 1 5 1
treat 0 1 0 4 5
treasur 0 0 5 5 0
track 2 2 2 1 3
toni 0 0 0 7 3
tom 0 7 0 2 1
toll 1 4 0 1 4
toler 0 1 8 1 0
thou 0 10 0 0 0
thomson 0 0 0 2 8
thermo 0 0 0 10 0
terra 9 0 0 0 1
tehran 10 0 0 0 0
tea 0 4 1 0 5
taxat 10 0 0 0 0
tandem 0 0 0 1 9
tactic 0 3 1 6 0
symbol 1 1 0 3 5
surfac 1 2 0 7 0
supervisori 0 0 1 5 4
suharto 10 0 0 0 0
stretch 3 0 0 2 5
stipul 0 1 4 3 2
steven 0 1 0 2 7
statoil 10 0 0 0 0
starch 0 3 0 7 0
standstil 0 2 0 7 1
sprinkel 0 0 10 0 0
spoke 4 0 4 1 1
spell 2 6 1 0 1
space 1 2 1 2 4
sort 1 0 2 6 1
solomon 0 0 6 4 0
solid 0 1 1 3 5
slowli 0 3 1 2 4
sizeabl 0 0 6 1 3
sixth 4 1 0 3 2
